filename,relative_path,class,split
NORMAL_100.png,NORMAL/NORMAL_100.png,NORMAL,train
NORMAL_1001.png,NORMAL/NORMAL_1001.png,NORMAL,train
NORMAL_1003.png,NORMAL/NORMAL_1003.png,NORMAL,train
NORMAL_1004.png,NORMAL/NORMAL_1004.png,NORMAL,train
NORMAL_1005.png,NORMAL/NORMAL_1005.png,NORMAL,train
NORMAL_1006.png,NORMAL/NORMAL_1006.png,NORMAL,train
NORMAL_1007.png,NORMAL/NORMAL_1007.png,NORMAL,train
NORMAL_1008.png,NORMAL/NORMAL_1008.png,NORMAL,train
NORMAL_1009.png,NORMAL/NORMAL_1009.png,NORMAL,train
NORMAL_101.png,NORMAL/NORMAL_101.png,NORMAL,train
NORMAL_1014.png,NORMAL/NORMAL_1014.png,NORMAL,train
NORMAL_1015.png,NORMAL/NORMAL_1015.png,NORMAL,train
NORMAL_1016.png,NORMAL/NORMAL_1016.png,NORMAL,train
NORMAL_1017.png,NORMAL/NORMAL_1017.png,NORMAL,train
NORMAL_1018.png,NORMAL/NORMAL_1018.png,NORMAL,train
NORMAL_1019.png,NORMAL/NORMAL_1019.png,NORMAL,train
NORMAL_102.png,NORMAL/NORMAL_102.png,NORMAL,train
NORMAL_1020.png,NORMAL/NORMAL_1020.png,NORMAL,train
NORMAL_1021.png,NORMAL/NORMAL_1021.png,NORMAL,train
NORMAL_1025.png,NORMAL/NORMAL_1025.png,NORMAL,train
NORMAL_1026.png,NORMAL/NORMAL_1026.png,NORMAL,train
NORMAL_1027.png,NORMAL/NORMAL_1027.png,NORMAL,train
NORMAL_1028.png,NORMAL/NORMAL_1028.png,NORMAL,train
NORMAL_1029.png,NORMAL/NORMAL_1029.png,NORMAL,train
NORMAL_103.png,NORMAL/NORMAL_103.png,NORMAL,train
NORMAL_1031.png,NORMAL/NORMAL_1031.png,NORMAL,train
NORMAL_1032.png,NORMAL/NORMAL_1032.png,NORMAL,train
NORMAL_1034.png,NORMAL/NORMAL_1034.png,NORMAL,train
NORMAL_1035.png,NORMAL/NORMAL_1035.png,NORMAL,train
NORMAL_1039.png,NORMAL/NORMAL_1039.png,NORMAL,train
NORMAL_104.png,NORMAL/NORMAL_104.png,NORMAL,train
NORMAL_1040.png,NORMAL/NORMAL_1040.png,NORMAL,train
NORMAL_1042.png,NORMAL/NORMAL_1042.png,NORMAL,train
NORMAL_1043.png,NORMAL/NORMAL_1043.png,NORMAL,train
NORMAL_1045.png,NORMAL/NORMAL_1045.png,NORMAL,train
NORMAL_1046.png,NORMAL/NORMAL_1046.png,NORMAL,train
NORMAL_1049.png,NORMAL/NORMAL_1049.png,NORMAL,train
NORMAL_1050.png,NORMAL/NORMAL_1050.png,NORMAL,train
NORMAL_1051.png,NORMAL/NORMAL_1051.png,NORMAL,train
NORMAL_1054.png,NORMAL/NORMAL_1054.png,NORMAL,train
NORMAL_1055.png,NORMAL/NORMAL_1055.png,NORMAL,train
NORMAL_1057.png,NORMAL/NORMAL_1057.png,NORMAL,train
NORMAL_1058.png,NORMAL/NORMAL_1058.png,NORMAL,train
NORMAL_1059.png,NORMAL/NORMAL_1059.png,NORMAL,train
NORMAL_106.png,NORMAL/NORMAL_106.png,NORMAL,train
NORMAL_1060.png,NORMAL/NORMAL_1060.png,NORMAL,train
NORMAL_1061.png,NORMAL/NORMAL_1061.png,NORMAL,train
NORMAL_1062.png,NORMAL/NORMAL_1062.png,NORMAL,train
NORMAL_1063.png,NORMAL/NORMAL_1063.png,NORMAL,train
NORMAL_1064.png,NORMAL/NORMAL_1064.png,NORMAL,train
NORMAL_1065.png,NORMAL/NORMAL_1065.png,NORMAL,train
NORMAL_1066.png,NORMAL/NORMAL_1066.png,NORMAL,train
NORMAL_1067.png,NORMAL/NORMAL_1067.png,NORMAL,train
NORMAL_1068.png,NORMAL/NORMAL_1068.png,NORMAL,train
NORMAL_1069.png,NORMAL/NORMAL_1069.png,NORMAL,train
NORMAL_107.png,NORMAL/NORMAL_107.png,NORMAL,train
NORMAL_1070.png,NORMAL/NORMAL_1070.png,NORMAL,train
NORMAL_1071.png,NORMAL/NORMAL_1071.png,NORMAL,train
NORMAL_1072.png,NORMAL/NORMAL_1072.png,NORMAL,train
NORMAL_1074.png,NORMAL/NORMAL_1074.png,NORMAL,train
NORMAL_1075.png,NORMAL/NORMAL_1075.png,NORMAL,train
NORMAL_1076.png,NORMAL/NORMAL_1076.png,NORMAL,train
NORMAL_1077.png,NORMAL/NORMAL_1077.png,NORMAL,train
NORMAL_1078.png,NORMAL/NORMAL_1078.png,NORMAL,train
NORMAL_1079.png,NORMAL/NORMAL_1079.png,NORMAL,train
NORMAL_1080.png,NORMAL/NORMAL_1080.png,NORMAL,train
NORMAL_1081.png,NORMAL/NORMAL_1081.png,NORMAL,train
NORMAL_1082.png,NORMAL/NORMAL_1082.png,NORMAL,train
NORMAL_1083.png,NORMAL/NORMAL_1083.png,NORMAL,train
NORMAL_1084.png,NORMAL/NORMAL_1084.png,NORMAL,train
NORMAL_1088.png,NORMAL/NORMAL_1088.png,NORMAL,train
NORMAL_109.png,NORMAL/NORMAL_109.png,NORMAL,train
NORMAL_1090.png,NORMAL/NORMAL_1090.png,NORMAL,train
NORMAL_1091.png,NORMAL/NORMAL_1091.png,NORMAL,train
NORMAL_1092.png,NORMAL/NORMAL_1092.png,NORMAL,train
NORMAL_1093.png,NORMAL/NORMAL_1093.png,NORMAL,train
NORMAL_1094.png,NORMAL/NORMAL_1094.png,NORMAL,train
NORMAL_1095.png,NORMAL/NORMAL_1095.png,NORMAL,train
NORMAL_1096.png,NORMAL/NORMAL_1096.png,NORMAL,train
NORMAL_1097.png,NORMAL/NORMAL_1097.png,NORMAL,train
NORMAL_1098.png,NORMAL/NORMAL_1098.png,NORMAL,train
NORMAL_1099.png,NORMAL/NORMAL_1099.png,NORMAL,train
NORMAL_11.png,NORMAL/NORMAL_11.png,NORMAL,train
NORMAL_110.png,NORMAL/NORMAL_110.png,NORMAL,train
NORMAL_1100.png,NORMAL/NORMAL_1100.png,NORMAL,train
NORMAL_1101.png,NORMAL/NORMAL_1101.png,NORMAL,train
NORMAL_1102.png,NORMAL/NORMAL_1102.png,NORMAL,train
NORMAL_1105.png,NORMAL/NORMAL_1105.png,NORMAL,train
NORMAL_1106.png,NORMAL/NORMAL_1106.png,NORMAL,train
NORMAL_1108.png,NORMAL/NORMAL_1108.png,NORMAL,train
NORMAL_1109.png,NORMAL/NORMAL_1109.png,NORMAL,train
NORMAL_111.png,NORMAL/NORMAL_111.png,NORMAL,train
NORMAL_1110.png,NORMAL/NORMAL_1110.png,NORMAL,train
NORMAL_1111.png,NORMAL/NORMAL_1111.png,NORMAL,train
NORMAL_1112.png,NORMAL/NORMAL_1112.png,NORMAL,train
NORMAL_1113.png,NORMAL/NORMAL_1113.png,NORMAL,train
NORMAL_1115.png,NORMAL/NORMAL_1115.png,NORMAL,train
NORMAL_1116.png,NORMAL/NORMAL_1116.png,NORMAL,train
NORMAL_1117.png,NORMAL/NORMAL_1117.png,NORMAL,train
NORMAL_1119.png,NORMAL/NORMAL_1119.png,NORMAL,train
NORMAL_1120.png,NORMAL/NORMAL_1120.png,NORMAL,train
NORMAL_1123.png,NORMAL/NORMAL_1123.png,NORMAL,train
NORMAL_1125.png,NORMAL/NORMAL_1125.png,NORMAL,train
NORMAL_1128.png,NORMAL/NORMAL_1128.png,NORMAL,train
NORMAL_1129.png,NORMAL/NORMAL_1129.png,NORMAL,train
NORMAL_1131.png,NORMAL/NORMAL_1131.png,NORMAL,train
NORMAL_1132.png,NORMAL/NORMAL_1132.png,NORMAL,train
NORMAL_1134.png,NORMAL/NORMAL_1134.png,NORMAL,train
NORMAL_1137.png,NORMAL/NORMAL_1137.png,NORMAL,train
NORMAL_1138.png,NORMAL/NORMAL_1138.png,NORMAL,train
NORMAL_114.png,NORMAL/NORMAL_114.png,NORMAL,train
NORMAL_1140.png,NORMAL/NORMAL_1140.png,NORMAL,train
NORMAL_1143.png,NORMAL/NORMAL_1143.png,NORMAL,train
NORMAL_1144.png,NORMAL/NORMAL_1144.png,NORMAL,train
NORMAL_1145.png,NORMAL/NORMAL_1145.png,NORMAL,train
NORMAL_1146.png,NORMAL/NORMAL_1146.png,NORMAL,train
NORMAL_1147.png,NORMAL/NORMAL_1147.png,NORMAL,train
NORMAL_1148.png,NORMAL/NORMAL_1148.png,NORMAL,train
NORMAL_1149.png,NORMAL/NORMAL_1149.png,NORMAL,train
NORMAL_115.png,NORMAL/NORMAL_115.png,NORMAL,train
NORMAL_1150.png,NORMAL/NORMAL_1150.png,NORMAL,train
NORMAL_1151.png,NORMAL/NORMAL_1151.png,NORMAL,train
NORMAL_1152.png,NORMAL/NORMAL_1152.png,NORMAL,train
NORMAL_1153.png,NORMAL/NORMAL_1153.png,NORMAL,train
NORMAL_1154.png,NORMAL/NORMAL_1154.png,NORMAL,train
NORMAL_1155.png,NORMAL/NORMAL_1155.png,NORMAL,train
NORMAL_1156.png,NORMAL/NORMAL_1156.png,NORMAL,train
NORMAL_1157.png,NORMAL/NORMAL_1157.png,NORMAL,train
NORMAL_1158.png,NORMAL/NORMAL_1158.png,NORMAL,train
